"Excel Table 3: Differentially methylatied positions (p < 0.05) within the Bangladesh 450K study. Models adjusted for age, smoking status, and estimated cell type proportions.",,,,,,,,,,
CpG,logFC,p,pFDR,pBonferroni,Chromosome,Position,Gene,Feature category,,
cg09717927,-0.19,0.032,0.97,1.00,chr13,112630399,,,,
cg19178853,0.18,0.032,0.97,1.00,chr4,174450408,NBLA00301;HAND2,TSS1500;1stExon,,
cg06667063,-0.11,0.032,0.97,1.00,chr3,158519627,MFSD1;MFSD1,TSS200;TSS200,,
cg20786221,0.11,0.032,0.97,1.00,chr7,65215780,CCT6P1,TSS1500,,
cg27090216,0.23,0.032,0.97,1.00,chr8,22960461,TNFRSF10C;TNFRSF10C,5'UTR;1stExon,,
cg16379316,0.14,0.032,0.97,1.00,chr16,75019367,WDR59,TSS1500,,
cg08061463,-0.19,0.032,0.97,1.00,chr15,90789198,,,,
cg15087147,0.14,0.032,0.97,1.00,chr7,127672169,SND1;LRRC4,Body;TSS1500,,
cg02416336,0.16,0.032,0.97,1.00,chr21,31971025,KRTAP6-2,1stExon,,
cg14393114,0.22,0.032,0.97,1.00,chr2,187714279,ZSWIM2,TSS1500,,
cg10858752,-0.20,0.032,0.97,1.00,chr12,91350364,C12orf12,TSS1500,,
cg16108835,-0.17,0.032,0.97,1.00,chr16,820122,MSLNL;MIR662,Body;TSS200,,
cg24981400,-0.22,0.032,0.97,1.00,chr2,100047526,REV1;REV1,Body;Body,,
cg25984973,0.18,0.032,0.97,1.00,chr20,62289569,RTEL1;RTEL1,TSS200;TSS200,,
cg22814801,-0.13,0.032,0.97,1.00,chr10,134558243,INPP5A,Body,,
cg02281493,-0.20,0.032,0.97,1.00,chr10,67086005,,,,
cg01607441,-0.14,0.032,0.97,1.00,chr19,36054625,ATP4A,TSS200,,
cg07169712,0.26,0.032,0.97,1.00,chr6,29571419,GABBR1;GABBR1;GABBR1,Body;Body;Body,,
cg16098170,-0.18,0.032,0.97,1.00,chr19,2255848,JSRP1,TSS1500,,
cg18773223,-0.22,0.032,0.97,1.00,chr9,131549619,TBC1D13;TBC1D13,1stExon;5'UTR,,
cg02762634,0.13,0.032,0.97,1.00,chr17,26458796,NLK,Body,,
cg14228788,0.16,0.032,0.97,1.00,chr20,48598378,SNAI1,TSS1500,,
cg00436174,0.18,0.032,0.97,1.00,chr2,128051630,ERCC3,1stExon,,
cg07591403,0.27,0.032,0.97,1.00,chr16,89267679,,,,
cg07691914,0.13,0.032,0.97,1.00,chr10,11504503,USP6NL;USP6NL,Body;Body,,
cg24044763,0.11,0.032,0.97,1.00,chr1,160370683,VANGL2,5'UTR,,
cg00636737,-0.13,0.032,0.97,1.00,chr20,62695569,TCEA2;TCEA2,Body;5'UTR,,
cg10166664,-0.23,0.032,0.97,1.00,chr5,60624229,,,,
cg01773217,0.17,0.032,0.97,1.00,chr13,27335204,GPR12,TSS1500,,
cg23284931,-0.53,0.032,0.97,1.00,chr11,13983273,SPON1,TSS1500,,
cg16245297,0.15,0.032,0.97,1.00,chr1,26189315,PAQR7,Body,,
cg25847633,-0.18,0.032,0.97,1.00,chr6,35744230,C6orf126,TSS200,,
cg14071524,-0.21,0.032,0.97,1.00,chr9,10615205,,,,
cg04273303,-0.11,0.032,0.97,1.00,chr1,228225533,WNT3A,Body,,
cg06400857,-0.12,0.032,0.97,1.00,chr9,139901972,ABCA2;ABCA2,3'UTR;3'UTR,,
cg00025211,0.09,0.032,0.97,1.00,chr1,145588627,NUDT17,Body,,
cg26258399,-0.15,0.032,0.97,1.00,chr8,103877083,AZIN1;AZIN1,TSS1500;TSS1500,,
cg12407526,-0.26,0.032,0.97,1.00,chr5,60059120,ELOVL7;ELOVL7,Body;Body,,
cg08364561,0.30,0.032,0.97,1.00,chr11,31846844,,,,
cg02308226,-0.22,0.032,0.97,1.00,chr2,99956839,EIF5B,Body,,
cg03861703,-0.15,0.032,0.97,1.00,chr17,70587137,,,,
cg09837385,-0.14,0.032,0.97,1.00,chr3,39149225,GORASP1;TTC21A;TTC21A;TTC21A;TTC21A,TSS200;1stExon;5'UTR;1stExon;5'UTR,,
cg00388871,0.12,0.032,0.97,1.00,chr20,62530407,DNAJC5,5'UTR,,
cg03171361,0.22,0.032,0.97,1.00,chr17,47075758,IGF2BP1;IGF2BP1,Body;Body,,
cg12409211,0.22,0.032,0.97,1.00,chr1,201857915,SHISA4;SHISA4;SHISA4,5'UTR;Body;1stExon,,
cg08721491,-0.11,0.032,0.97,1.00,chr6,31937968,STK19;DOM3Z,TSS1500;Body,,
cg24249973,-0.15,0.032,0.97,1.00,chr1,201347550,TNNT2;TNNT2;TNNT2;TNNT2,TSS1500;TSS1500;TSS1500;TSS1500,,
cg03313574,-0.23,0.032,0.97,1.00,chr11,69484574,ORAOV1,Body,,
cg13460121,-0.13,0.032,0.97,1.00,chr2,26928252,KCNK3,Body,,
cg18363035,-0.14,0.032,0.97,1.00,chr13,20805385,GJB6;GJB6;GJB6;GJB6,5'UTR;5'UTR;5'UTR;TSS200,,
cg01893100,-0.15,0.032,0.97,1.00,chr3,167799377,GOLIM4,Body,,
cg24760414,-0.22,0.032,0.97,1.00,chr11,3167563,OSBPL5;OSBPL5;OSBPL5,5'UTR;5'UTR;5'UTR,,
cg23242979,0.13,0.032,0.97,1.00,chr1,101002289,GPR88,TSS1500,,
cg23448054,-0.20,0.032,0.97,1.00,chr19,17649906,FAM129C;FAM129C,Body;Body,,
cg19665362,0.37,0.032,0.97,1.00,chr15,83316838,CPEB1,TSS200,,
cg23278885,0.20,0.032,0.97,1.00,chr20,2361431,TGM6,TSS200,,
cg03825764,0.12,0.032,0.97,1.00,chr7,75703703,,,,
cg03666350,0.12,0.032,0.97,1.00,chr2,46662132,,,,
cg09620016,0.19,0.032,0.97,1.00,chr16,25268473,ZKSCAN2;ZKSCAN2,1stExon;5'UTR,,
cg04363624,0.30,0.032,0.97,1.00,chr1,47697965,,,,
cg02620307,-0.27,0.032,0.97,1.00,chr1,161283965,SDHC;SDHC;SDHC;LOC642502;SDHC,TSS200;TSS200;TSS200;TSS1500;TSS200,,
cg03225787,-0.26,0.032,0.97,1.00,chr1,158518363,OR6Y1,TSS1500,,
cg27535305,0.23,0.032,0.97,1.00,chr1,53392650,SCP2;SCP2,TSS1500;TSS1500,,
cg22527142,-0.14,0.032,0.97,1.00,chr7,73097923,DNAJC30;WBSCR22;WBSCR22,TSS200;5'UTR;1stExon,,
cg18751223,0.12,0.032,0.97,1.00,chr19,1480049,C19orf25,TSS1500,,
cg18448581,0.39,0.032,0.97,1.00,chr18,70534767,NETO1;NETO1,1stExon;5'UTR,,
cg08788438,-0.15,0.032,0.97,1.00,chr11,63870619,FLRT1;MACROD1,TSS1500;Body,,
cg20351640,0.64,0.032,0.97,1.00,chr2,160654236,CD302,Body,,
cg23729997,0.20,0.032,0.97,1.00,chr10,126150123,LHPP;LHPP,TSS1500;TSS1500,,
cg10227327,0.20,0.032,0.97,1.00,chr14,62584037,FLJ43390,TSS200,,
cg01727145,0.63,0.032,0.97,1.00,chr2,220313422,SPEG,Body,,
cg25254739,0.17,0.032,0.97,1.00,chr19,3290345,BRUNOL5,Body,,
cg17332705,-0.17,0.032,0.97,1.00,chr4,7768162,AFAP1;AFAP1;LOC84740,Body;Body;Body,,
cg12544951,0.16,0.032,0.97,1.00,chr20,21695343,PAX1,Body,,
cg13555689,-0.26,0.032,0.97,1.00,chr14,101348566,MIR127;RTL1,TSS1500;1stExon,,
cg23503691,0.10,0.032,0.97,1.00,chr12,107208888,RIC8B,Body,,
cg11832000,-0.23,0.032,0.97,1.00,chr10,61153075,,,,
cg06769546,0.21,0.032,0.97,1.00,chr10,134600089,NKX6-2,TSS1500,,
cg13201297,-0.10,0.032,0.97,1.00,chr1,151777774,LINGO4;LINGO4,1stExon;5'UTR,,
cg04995291,-0.16,0.032,0.97,1.00,chr22,37546325,IL2RB,TSS1500,,
cg07809166,-0.11,0.032,0.97,1.00,chr16,28267346,,,,
cg22256944,-0.24,0.032,0.97,1.00,chr19,53828996,,,,
cg15042692,0.19,0.032,0.97,1.00,chr1,1243460,ACAP3;PUSL1,TSS200;TSS1500,,
cg09975995,-0.19,0.032,0.97,1.00,chr4,175899203,ADAM29;ADAM29;ADAM29;ADAM29,3'UTR;3'UTR;3'UTR;3'UTR,,
cg08636536,-0.13,0.032,0.97,1.00,chr7,23571816,TRA2A,TSS200,,
cg12726927,0.19,0.032,0.97,1.00,chr4,7941431,AFAP1;AFAP1;AFAP1;AFAP1,5'UTR;5'UTR;1stExon;1stExon,,
cg05555653,0.13,0.032,0.97,1.00,chr8,123964437,ZHX2,Body,,
cg22817993,0.41,0.032,0.97,1.00,chr1,1950415,GABRD,TSS1500,,
cg06820905,0.30,0.032,0.97,1.00,chr8,69243752,,,,
cg10503635,-0.19,0.032,0.97,1.00,chr6,29634213,MOG;MOG;MOG;MOG;MOG;MOG;MOG;MOG;MOG;MOG;MOG,3'UTR;Body;3'UTR;Body;Body;Body;Body;Body;Body;Body;Body,,
cg05164185,-0.27,0.032,0.97,1.00,chr11,69456412,CCND1,Body,,
cg18488855,0.20,0.032,0.97,1.00,chr14,27066634,NOVA1;NOVA1;NOVA1,1stExon;1stExon;1stExon,,
cg01162550,0.13,0.032,0.97,1.00,chr12,11853747,ETV6,Body,,
cg05825073,0.14,0.032,0.97,1.00,chr7,27282237,EVX1;EVX1,1stExon;5'UTR,,
cg23590660,0.11,0.032,0.97,1.00,chr12,8205602,FOXJ2,3'UTR,,
cg12191107,-0.14,0.032,0.97,1.00,chr6,88297591,RARS2,Body,,
cg01924880,0.22,0.032,0.97,1.00,chr4,5892208,CRMP1,Body,,
cg16804882,-0.19,0.032,0.97,1.00,chr6,136501885,PDE7B,Body,,
cg23682940,0.30,0.032,0.97,1.00,chr15,101419483,ALDH1A3,TSS1500,,
cg22916672,0.11,0.032,0.97,1.00,chr5,95480573,,,,
cg20271029,0.15,0.032,0.97,1.00,chr1,46859845,FAAH,TSS200,,
cg14390263,-0.25,0.032,0.97,1.00,chr9,6109415,,,,
cg16584172,0.13,0.032,0.97,1.00,chr13,100633446,ZIC2,TSS1500,,
cg12160186,0.13,0.032,0.97,1.00,chr2,242688334,D2HGDH,Body,,
cg00377497,-0.16,0.032,0.97,1.00,chr8,27167110,TRIM35,Body,,
cg02572729,0.53,0.032,0.97,1.00,chr1,85930809,DDAH1;DDAH1;DDAH1,1stExon;5'UTR;5'UTR,,
cg07059925,0.16,0.032,0.97,1.00,chr11,108422936,EXPH5;EXPH5,TSS200;Body,,
cg01941663,-0.16,0.032,0.97,1.00,chr1,38476345,,,,
cg08395793,-0.38,0.032,0.97,1.00,chr16,858205,PRR25,Body,,
cg21580213,0.16,0.032,0.97,1.00,chr11,94231278,ANKRD49,Body,,
cg02941816,0.33,0.032,0.97,1.00,chr10,131265696,MGMT,Body,,
cg04156219,-0.10,0.032,0.97,1.00,chr8,30137637,,,,
cg12262070,-0.19,0.032,0.97,1.00,chr11,119209451,,,,
cg20249919,0.57,0.032,0.97,1.00,chr15,102029706,PCSK6;PCSK6;PCSK6;PCSK6;PCSK6;PCSK6;PCSK6;PCSK6,1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon;1stExon,,
cg20566439,-0.12,0.032,0.97,1.00,chr7,26955529,,,,
cg01579600,-0.19,0.032,0.97,1.00,chr5,123589203,,,,
cg02193461,0.14,0.032,0.97,1.00,chr7,128510318,,,,
cg18461950,0.19,0.032,0.97,1.00,chr10,88161009,,,,
cg22746765,-0.30,0.032,0.97,1.00,chr11,57480041,TMX2;TMX2;MED19;TMX2;TMX2;TMX2,5'UTR;1stExon;TSS1500;5'UTR;Body;1stExon,,
cg20560169,0.18,0.032,0.97,1.00,chr14,102026283,DIO3,TSS1500,,
cg12049550,0.18,0.032,0.97,1.00,chr1,65035261,CACHD1,Body,,
cg15610198,-0.14,0.032,0.97,1.00,chr20,18477446,RBBP9,Body,,
cg15856829,0.17,0.032,0.97,1.00,chr6,161100672,,,,
cg05891292,0.17,0.032,0.97,1.00,chr7,53103310,POM121L12,TSS200,,
cg18451344,-0.18,0.032,0.97,1.00,chr3,150303534,EIF2A,3'UTR,,
cg06622999,0.43,0.032,0.97,1.00,chr12,72666281,LOC283392;TRHDE;LOC283392,Body;TSS1500;Body,,
cg20198684,-0.10,0.032,0.97,1.00,chr19,45742032,,,,
cg16542646,-0.12,0.032,0.97,1.00,chr16,22175965,,,,
cg09417355,-0.21,0.032,0.97,1.00,chr1,152814273,LCE6A,TSS1500,,
cg08959039,0.16,0.032,0.97,1.00,chr13,111062266,COL4A2,Body,,
cg18432895,-0.19,0.032,0.97,1.00,chr8,29205555,DUSP4;DUSP4;DUSP4,Body;5'UTR;1stExon,,
cg27315388,0.11,0.032,0.97,1.00,chr1,8862945,RERE;RERE,5'UTR;5'UTR,,
cg24610790,-0.24,0.032,0.97,1.00,chr7,2859641,GNA12,Body,,
cg07119001,-0.12,0.032,0.97,1.00,chr2,241512404,RNPEPL1,5'UTR,,
cg16852483,-0.23,0.032,0.97,1.00,chr13,102103930,ITGBL1,TSS1500,,
cg16754467,0.33,0.032,0.97,1.00,chr6,10426588,,,,
cg12748258,0.32,0.032,0.97,1.00,chr8,21988173,HR;HR;HR;HR,1stExon;5'UTR;1stExon;5'UTR,,
cg15159069,0.22,0.032,0.97,1.00,chr3,192634089,C3orf59,Body,,
cg05783554,-0.25,0.032,0.97,1.00,chr2,232466435,,,,
cg11855741,-0.16,0.032,0.97,1.00,chr5,168692189,SLIT3;MIR585,Body;TSS1500,,
cg09739081,0.24,0.032,0.97,1.00,chr7,23719861,C7orf46;C7orf46;C7orf46,1stExon;1stExon;1stExon,,
cg16107285,0.16,0.032,0.97,1.00,chr15,99645031,SYNM;SYNM,TSS1500;TSS1500,,
cg13613976,0.17,0.032,0.97,1.00,chr7,1574413,MAFK,5'UTR,,
cg02441892,0.11,0.032,0.97,1.00,chr7,45159368,,,,
cg17278735,0.13,0.032,0.97,1.00,chr7,8476834,NXPH1,Body,,
cg17619405,0.28,0.032,0.97,1.00,chr3,157819846,SHOX2;SHOX2;SHOX2,Body;Body;Body,,
cg10647547,-0.17,0.032,0.97,1.00,chr2,236447792,AGAP1;AGAP1,Body;Body,,
cg14302612,-0.17,0.032,0.97,1.00,chr2,128317170,MYO7B,5'UTR,,
cg01055099,-0.19,0.032,0.97,1.00,chr16,3516099,NAT15;NAT15;NAT15,5'UTR;5'UTR;5'UTR,,
cg26077062,-0.17,0.032,0.97,1.00,chr8,110661013,GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN;GOLSYN,1stExon;5'UTR;1stExon;1stExon;1stExon;1stExon;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,,
cg20567148,-0.12,0.032,0.97,1.00,chr7,101463138,CUX1;CUX1;CUX1,Body;Body;Body,,
cg19554461,0.31,0.032,0.97,1.00,chr7,4998470,MMD2;MMD2,Body;Body,,
cg22028012,0.15,0.032,0.97,1.00,chr17,5974582,WSCD1,5'UTR,,
cg19257111,-0.19,0.032,0.97,1.00,chr15,65843003,PTPLAD1,Body,,
cg25882473,-0.17,0.032,0.97,1.00,chr15,64093478,HERC1,5'UTR,,
cg12039611,-0.16,0.032,0.97,1.00,chr1,156786653,NTRK1;SH2D2A;SH2D2A;SH2D2A;SH2D2A;SH2D2A,Body;TSS200;TSS200;TSS1500;TSS200;TSS200,,
cg13636189,0.15,0.032,0.97,1.00,chr9,102587074,NR4A3;NR4A3;NR4A3,5'UTR;5'UTR;5'UTR,,
cg12606891,-0.26,0.032,0.97,1.00,chr1,7913872,UTS2;UTS2,TSS1500;TSS1500,,
cg13142152,-0.19,0.032,0.97,1.00,chr6,25026539,,,,
cg16018729,-0.33,0.032,0.97,1.00,chr10,30663426,LOC729668,TSS200,,
cg16046586,0.11,0.032,0.97,1.00,chr3,427757,CHL1,Body,,
cg10516146,-0.15,0.032,0.97,1.00,chr17,37897246,GRB7;GRB7,5'UTR;5'UTR,,
cg27593384,0.38,0.032,0.97,1.00,chr18,25755608,CDH2,Body,,
cg12401640,-0.22,0.032,0.97,1.00,chr4,20335836,SLIT2,Body,,
cg13570164,-0.10,0.032,0.97,1.00,chr19,34269267,,,,
cg04203824,-0.14,0.032,0.97,1.00,chr4,3418911,RGS12;RGS12;RGS12,Body;Body;Body,,
cg08313939,0.41,0.032,0.97,1.00,chr20,37353117,SLC32A1;SLC32A1,5'UTR;1stExon,,
cg00592058,0.19,0.032,0.97,1.00,chr6,40996075,UNC5CL,3'UTR,,
cg07156006,-0.22,0.032,0.97,1.00,chr7,2195321,MAD1L1;MAD1L1;MAD1L1,Body;Body;Body,,
cg06489077,-0.18,0.032,0.97,1.00,chr3,65532188,MAGI1;MAGI1;MAGI1,Body;Body;Body,,
cg06635150,0.14,0.032,0.97,1.00,chr5,171094937,,,,
cg21169203,0.37,0.032,0.97,1.00,chr11,111847968,DIXDC1;DIXDC1,TSS200;Body,,
cg26782824,0.19,0.032,0.97,1.00,chr11,82867961,PCF11,TSS200,,
cg15670990,-0.13,0.032,0.97,1.00,chr6,32016115,TNXB,Body,,
cg23109206,-0.21,0.032,0.97,1.00,chr5,55530135,ANKRD55,TSS1500,,
cg15364303,0.17,0.032,0.97,1.00,chr1,64239391,ROR1;ROR1,TSS1500;TSS1500,,
cg16145113,0.13,0.032,0.97,1.00,chr1,119549847,,,,
cg26974327,0.17,0.032,0.97,1.00,chr2,163695408,KCNH7;KCNH7,TSS200;TSS200,,
cg12308664,0.14,0.032,0.97,1.00,chr7,27250344,,,,
cg21722418,-0.19,0.032,0.97,1.00,chr20,61467586,COL9A3,Body,,
cg04127587,-0.14,0.032,0.97,1.00,chr5,176829112,PFN3,TSS1500,,
cg11410649,0.13,0.032,0.97,1.00,chr1,24122853,GALE;GALE;GALE,Body;Body;Body,,
cg23674791,0.15,0.032,0.97,1.00,chr14,106852785,,,,
cg20943338,0.20,0.032,0.97,1.00,chr1,78354406,NEXN;NEXN,5'UTR;1stExon,,
cg10981717,-0.26,0.032,0.97,1.00,chr8,95569815,,,,
cg00662684,0.32,0.032,0.97,1.00,chr1,92495818,EPHX4,1stExon,,
cg07411420,-0.21,0.032,0.97,1.00,chr3,56492969,ERC2,5'UTR,,
cg20114394,0.16,0.032,0.97,1.00,chr3,120170441,FSTL1,TSS1500,,
cg12929805,0.19,0.032,0.97,1.00,chr1,2399054,,,,
cg07545846,-0.15,0.032,0.97,1.00,chr11,133940520,JAM3,Body,,
cg20495404,-0.29,0.032,0.97,1.00,chr2,8823649,ID2,3'UTR,,
cg12058646,-0.15,0.032,0.97,1.00,chr3,45017840,ZDHHC3;EXOSC7;EXOSC7;ZDHHC3;ZDHHC3,TSS200;Body;Body;TSS200;TSS200,,
cg11467381,-0.25,0.032,0.97,1.00,chr6,41565395,FOXP4;FOXP4;FOXP4,Body;Body;Body,,
cg05806645,-0.55,0.032,0.97,1.00,chr8,9009352,PPP1R3B,TSS1500,,
cg08144020,0.13,0.032,0.97,1.00,chr16,69596982,,,,
cg05116906,0.52,0.032,0.97,1.00,chr13,33590495,KL,TSS200,,
cg03906843,0.19,0.032,0.97,1.00,chr3,151157436,IGSF10,Body,,
cg20773815,-0.10,0.032,0.97,1.00,chr7,100768974,SERPINE1;SERPINE1,TSS1500;TSS1500,,
cg17514168,0.36,0.032,0.97,1.00,chr1,248790497,OR2T11,TSS200,,
cg09086416,-0.17,0.032,0.97,1.00,chr6,50428999,,,,
cg01700504,-0.15,0.032,0.97,1.00,chr13,20805391,GJB6;GJB6;GJB6;GJB6,5'UTR;5'UTR;5'UTR;TSS200,,
cg03598313,-0.21,0.032,0.97,1.00,chr1,208955564,,,,
cg17236067,0.12,0.032,0.97,1.00,chr7,151722814,GALNT11;GALNT11,1stExon;5'UTR,,
cg16389465,0.14,0.032,0.97,1.00,chr16,426713,TMEM8A,Body,,
cg06685282,-0.26,0.032,0.97,1.00,chr3,112453648,,,,
cg27035480,0.14,0.032,0.97,1.00,chr16,3907755,CREBBP;CREBBP,Body;Body,,
cg24754507,0.18,0.032,0.97,1.00,chr6,28481862,GPX6,Body,,
cg07884222,-0.20,0.032,0.97,1.00,chr15,60302404,,,,
cg26921586,0.18,0.032,0.97,1.00,chr4,493489,ZNF721;PIGG;PIGG,TSS200;Body;Body,,
cg08806348,-0.14,0.032,0.97,1.00,chr19,14201154,SAMD1,1stExon,,
cg19649152,0.19,0.032,0.97,1.00,chr13,113007492,,,,
cg16593812,-0.12,0.032,0.97,1.00,chr1,248153173,OR2L1P;OR2L13,TSS1500;5'UTR,,
cg22720482,-0.14,0.032,0.97,1.00,chr8,62066624,,,,
cg03625261,0.23,0.032,0.97,1.00,chr2,217497941,IGFBP2,TSS200,,
cg19091791,0.14,0.032,0.97,1.00,chr5,179267771,C5orf45;C5orf45,Body;Body,,
cg24757978,-0.16,0.032,0.97,1.00,chr3,69003455,,,,
cg19674166,0.14,0.032,0.97,1.00,chr4,95457406,PDLIM5;PDLIM5;PDLIM5;PDLIM5;PDLIM5,Body;Body;Body;Body;Body,,
cg24467337,-0.16,0.032,0.97,1.00,chr20,31262314,LOC284805,TSS1500,,
cg13845858,-0.12,0.032,0.97,1.00,chr9,139916992,ABCA2;ABCA2,Body;Body,,
cg01674405,-0.10,0.032,0.97,1.00,chr9,138871595,,,,
cg15735129,-0.23,0.032,0.97,1.00,chr2,182850269,PPP1R1C,TSS1500,,
cg25739142,-0.16,0.032,0.97,1.00,chr20,3206940,,,,
cg02863988,0.14,0.032,0.97,1.00,chr19,4525572,PLIN5,Body,,
cg03077331,0.25,0.032,0.97,1.00,chr17,80693076,FN3K,TSS1500,,
cg23622047,-0.13,0.032,0.97,1.00,chr2,173701464,RAPGEF4;RAPGEF4,Body;Body,,
cg01461514,-0.17,0.032,0.97,1.00,chr7,55177182,EGFR;EGFR;EGFR;EGFR,Body;Body;Body;Body,,
cg17988310,0.17,0.032,0.97,1.00,chr22,40355732,GRAP2,Body,,
cg16040564,0.24,0.032,0.97,1.00,chr1,108510531,,,,
cg03843972,0.12,0.032,0.97,1.00,chr8,65286589,,,,
cg09084885,-0.13,0.032,0.97,1.00,chr15,39865765,,,,
cg23447792,-0.25,0.032,0.97,1.00,chr12,132606668,EP400NL,Body,,
cg21097733,0.23,0.032,0.97,1.00,chr17,46623729,HOXB2,TSS1500,,
cg14070108,-0.17,0.032,0.97,1.00,chr15,77922163,LINGO1,Body,,
cg27271532,-0.11,0.032,0.97,1.00,chr11,612762,IRF7;IRF7;IRF7,Body;Body;Body,,
cg11067338,0.19,0.032,0.97,1.00,chr7,143584683,FAM115A,5'UTR,,
cg07080372,-0.13,0.032,0.97,1.00,chr11,796607,SLC25A22,TSS1500,,
cg13605690,-0.13,0.032,0.97,1.00,chr2,169746671,SPC25,5'UTR,,
cg11934695,0.35,0.032,0.97,1.00,chr20,4230092,ADRA1D,TSS1500,,
cg22973974,0.49,0.032,0.97,1.00,chr14,65453433,FNTB,TSS200,,
cg19628686,0.21,0.032,0.97,1.00,chr6,33158503,COL11A2;COL11A2;COL11A2;COL11A2,Body;Body;Body;Body,,
cg04562909,0.26,0.032,0.97,1.00,chr12,114836014,TBX5;TBX5;TBX5;TBX5,Body;Body;Body;Body,,
cg09837314,-0.20,0.032,0.97,1.00,chr17,67815656,,,,
cg19969431,0.13,0.032,0.97,1.00,chr14,74321094,PTGR2;PTGR2;PTGR2,5'UTR;5'UTR;5'UTR,,
cg21650900,0.17,0.032,0.97,1.00,chr2,235405122,ARL4C,1stExon,,
cg23089840,0.14,0.032,0.97,1.00,chr21,45874886,LRRC3,TSS1500,,
cg01486558,0.25,0.032,0.97,1.00,chr3,42132870,TRAK1;TRAK1,1stExon;5'UTR,,
cg27075187,0.24,0.032,0.97,1.00,chr11,12696059,TEAD1;TEAD1,1stExon;5'UTR,,
cg04389822,0.14,0.032,0.97,1.00,chr18,76755488,SALL3,Body,,
cg10417567,0.22,0.032,0.97,1.00,chr4,85418371,NKX6-1,Body,,
cg20208990,-0.17,0.032,0.97,1.00,chr20,56286567,PMEPA1;PMEPA1;PMEPA1,TSS1500;TSS1500;TSS200,,
cg23450938,0.14,0.032,0.97,1.00,chr2,102972792,,,,
cg01747263,-0.19,0.032,0.97,1.00,chr3,156394028,TIPARP;LOC100287227,5'UTR;TSS1500,,
cg11831006,-0.15,0.032,0.97,1.00,chr3,125100635,,,,
cg06386517,0.27,0.032,0.97,1.00,chr7,50860866,GRB10,5'UTR,,
cg01725297,-0.15,0.032,0.97,1.00,chr1,11888644,CLCN6;CLCN6,Body;Body,,
cg24383498,-0.15,0.032,0.97,1.00,chr10,127464573,MMP21,TSS200,,
cg01625222,-0.25,0.032,0.97,1.00,chr6,159872297,,,,
cg16320788,0.30,0.032,0.97,1.00,chr8,73794096,KCNB2,Body,,
cg09022993,0.19,0.033,0.97,1.00,chr4,52917875,SPATA18,1stExon,,
cg20226154,0.35,0.033,0.97,1.00,chr6,150346787,RAET1L,TSS200,,
cg12743248,-0.18,0.033,0.97,1.00,chr8,49636840,EFCAB1;EFCAB1;EFCAB1,3'UTR;3'UTR;Body,,
cg15015722,-0.12,0.033,0.97,1.00,chr7,6204774,CYTH3,Body,,
cg22996912,0.24,0.033,0.97,1.00,chr8,23261117,LOXL2,5'UTR,,
cg00220905,-0.15,0.033,0.97,1.00,chr5,98110545,RGMB,Body,,
cg15146122,-0.25,0.033,0.97,1.00,chr2,40472772,SLC8A1;SLC8A1;SLC8A1;SLC8A1,Body;Body;Body;Body,,
cg23779377,0.10,0.033,0.97,1.00,chr10,134119443,STK32C,Body,,
cg14012059,0.13,0.033,0.97,1.00,chr9,130222969,LRSAM1;LRSAM1;LRSAM1,Body;Body;Body,,
cg26532905,0.11,0.033,0.97,1.00,chr1,182557093,RNASEL,TSS1500,,
cg17073023,-0.21,0.033,0.97,1.00,chr11,107662133,SLC35F2,3'UTR,,
cg21691116,0.14,0.033,0.97,1.00,chr1,161171819,NDUFS2;NDUFS2,5'UTR;TSS200,,
cg27513684,0.10,0.033,0.97,1.00,chr1,27729053,,,,
cg19303763,-0.15,0.033,0.97,1.00,chr1,157108706,ETV3;ETV3,TSS1500;TSS1500,,
cg11831182,0.17,0.033,0.97,1.00,chr1,156104614,LMNA;LMNA;LMNA,Body;Body;Body,,
cg04815334,-0.23,0.033,0.97,1.00,chr11,71210295,NADSYN1,Body,,
cg26779676,0.12,0.033,0.97,1.00,chr7,140774714,,,,
cg27042584,0.20,0.033,0.97,1.00,chr16,51168485,,,,
cg20552220,-0.10,0.033,0.97,1.00,chr8,102876411,NCALD;NCALD;NCALD;NCALD;NCALD;NCALD;NCALD,5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR;5'UTR,,
cg17959324,0.17,0.033,0.97,1.00,chr19,42747065,GSK3A,TSS1500,,
cg00824381,-0.19,0.033,0.97,1.00,chr16,31708460,,,,
cg06381879,0.18,0.033,0.97,1.00,chr12,125668924,,,,
cg10717312,0.27,0.033,0.97,1.00,chr2,241976244,SNED1,Body,,
cg04733744,0.16,0.033,0.97,1.00,chr2,241835462,C2orf54;C2orf54,1stExon;5'UTR,,
cg01565508,0.15,0.033,0.97,1.00,chr17,8869961,PIK3R5,TSS1500,,
cg00945719,0.14,0.033,0.97,1.00,chr19,39971230,TIMM50,1stExon,,
cg19610519,-0.26,0.033,0.97,1.00,chr11,70073031,,,,
cg25932748,0.34,0.033,0.97,1.00,chr2,155554017,KCNJ3,TSS1500,,
cg17357865,-0.15,0.033,0.97,1.00,chr5,158690500,UBLCP1,5'UTR,,
